snapped_at,price
2021-08-29,50.25738745352412
2021-08-30,47.54387384206907
2021-08-31,41.289889577440455
2021-09-01,39.6223015195866
2021-09-02,42.43596776762659
2021-09-03,47.530644845840094
2021-09-04,45.80761953236709
2021-09-05,47.247097019313784
2021-09-06,48.02183580538264
2021-09-07,47.21880381931182
2021-09-08,38.10167909463535
2021-09-09,36.74457132907317
2021-09-10,40.95332903520038
2021-09-11,48.43566612732952
2021-09-12,58.252030008040386
2021-09-13,59.69396875371986
2021-09-14,53.518061472586595
2021-09-15,51.40868422448842
2021-09-16,57.34253420380464
2021-09-17,67.45027431787689
2021-09-18,70.45911610031602
2021-09-19,68.48538147965974
2021-09-20,70.15668691561712
2021-09-21,57.410267048802666
2021-09-22,57.90385605809707
2021-09-23,74.21467139291019
2021-09-24,76.35486767740508
2021-09-25,72.54966713836322
2021-09-26,68.82282459762295
2021-09-27,67.0483383201725
2021-09-28,66.53474797893769
2021-09-29,61.435481612073794
2021-09-30,65.19460999108864
2021-10-01,66.47007244890037
2021-10-02,67.54593178312923
2021-10-03,69.48393486173926
2021-10-04,68.97132636600621
2021-10-05,65.25381828400121
2021-10-06,64.7264307228896
2021-10-07,60.12474045060597
2021-10-08,61.06384706948713
2021-10-09,60.26757571509122
2021-10-10,60.85751768886602
2021-10-11,56.64180450669833
2021-10-12,55.37920779741916
2021-10-13,54.191746887562715
2021-10-14,55.214194188199855
2021-10-15,56.1757661043276
2021-10-16,56.41585061653142
2021-10-17,57.812921242440154
2021-10-18,56.276030461995624
2021-10-19,55.483903031304955
2021-10-20,57.0124282908953
2021-10-21,59.79610674610143
2021-10-22,61.39529490649076
2021-10-23,65.68786282191466
2021-10-24,65.77094733117103
2021-10-25,64.69956251858116
2021-10-26,69.73520380084048
2021-10-27,69.02291439686667
2021-10-28,61.70773292151095
2021-10-29,64.37937556465651
2021-10-30,64.6318466782779
2021-10-31,62.26591676367212
2021-11-01,64.29427912830057
2021-11-02,64.90581540363962
2021-11-03,67.68149736872535
2021-11-04,75.03022286764939
2021-11-05,79.05393356807336
2021-11-06,74.57889026547876
2021-11-07,78.39911920726178
2021-11-08,88.11973889072134
2021-11-09,91.16546397681483
2021-11-10,88.58305305570052
2021-11-11,85.04501745394138
2021-11-12,88.11802306604339
2021-11-13,84.81838305613623
2021-11-14,97.685999066621
2021-11-15,96.02591873268065
2021-11-16,94.36417319642501
2021-11-17,99.4345405714911
2021-11-18,108.50173741857603
2021-11-19,98.6064628626434
2021-11-20,111.36965853663305
2021-11-21,126.06963111588966
2021-11-22,130.16960749414352
2021-11-23,134.46974746173134
2021-11-24,123.5333485507255
2021-11-25,115.96657623790922
2021-11-26,118.87894084065097
2021-11-27,104.42196277420801
2021-11-28,111.98434769302517
2021-11-29,110.97352053958471
2021-11-30,118.61040584252741
2021-12-01,120.88233192704446
2021-12-02,119.26942260381824
2021-12-03,108.07085658708232
2021-12-04,108.3545157133716
2021-12-05,92.36394266387028
2021-12-06,85.66709470944734
2021-12-07,92.90769120588527
2021-12-08,89.9156911175943
2021-12-09,92.98112783667227
2021-12-10,86.37402881474569
2021-12-11,81.75407822327689
2021-12-12,86.08312663484078
2021-12-13,88.21333569242314
2021-12-14,78.90032318129515
2021-12-15,87.24244811383765
2021-12-16,100.79634347945827
2021-12-17,98.6440709417485
2021-12-18,111.60091489623271
2021-12-19,115.69450576009868
2021-12-20,108.25379767554458
2021-12-21,114.28517198404863
2021-12-22,123.47273573037523
2021-12-23,116.59459070306333
2021-12-24,121.96832022558323
2021-12-25,115.09766306375485
2021-12-26,115.30089651953931
2021-12-27,115.4503669021016
2021-12-28,114.02689439817335
2021-12-29,107.695930902956
2021-12-30,103.60154862331127
2021-12-31,101.5411609623904
2022-01-01,109.62815282481401
2022-01-02,114.02114384025094
2022-01-03,113.23228624603189
2022-01-04,108.28557609445389
2022-01-05,103.98916803062998
2022-01-06,98.22594702793623
2022-01-07,95.53298443372405
2022-01-08,86.83172329068684
2022-01-09,84.06221177214938
2022-01-10,89.0602012039715
2022-01-11,84.44712294932509
2022-01-12,89.58628102476806
2022-01-13,96.02785348897338
2022-01-14,89.7061015180755
2022-01-15,90.37756070759045
2022-01-16,93.43265339078472
2022-01-17,92.27684496953147
2022-01-18,86.89130228462591
2022-01-19,86.04701525076175
2022-01-20,82.96719960877226
2022-01-21,79.47966545534564
2022-01-22,65.92302814515385
2022-01-23,59.739227273747346
2022-01-24,64.74252028287475
2022-01-25,63.03144057421583
2022-01-26,68.14885745000299
2022-01-27,66.1392057637467
2022-01-28,64.83742724920603
2022-01-29,67.2115144061648
2022-01-30,72.24859174245796
2022-01-31,68.12597830077597
2022-02-01,70.07098704816191
2022-02-02,73.49526715004099
2022-02-03,67.99931407727212
2022-02-04,68.10978569432784
2022-02-05,77.44431467666708
2022-02-06,77.49835136657174
2022-02-07,78.68841096573442
2022-02-08,83.42542500941947
